"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"06/03/2017","3,870.00","3,870.00","3,870.00","3,870.00","-","0.00%"
"07/03/2017","3,870.00","3,870.00","3,870.00","3,870.00","-","0.00%"
"08/03/2017","3,870.00","3,870.00","3,870.00","3,870.00","-","0.00%"
"09/03/2017","3,870.00","3,870.00","3,870.00","3,870.00","-","0.00%"
"10/03/2017","3,870.00","3,870.00","3,870.00","3,870.00","-","0.00%"
"13/03/2017","3,870.00","3,870.00","3,870.00","3,870.00","-","0.00%"
"14/03/2017","3,870.00","3,870.00","3,870.00","3,870.00","-","0.00%"
"15/03/2017","3,870.00","3,870.00","3,870.00","3,870.00","-","0.00%"
"16/03/2017","3,517.00","3,517.00","3,517.00","3,517.00","-","-9.12%"
"17/03/2017","3,517.00","3,517.00","3,517.00","3,517.00","-","0.00%"
"20/03/2017","3,517.00","3,517.00","3,517.00","3,517.00","-","0.00%"
"21/03/2017","3,517.00","3,517.00","3,517.00","3,517.00","-","0.00%"
"22/03/2017","3,517.00","3,517.00","3,517.00","3,517.00","-","0.00%"
"23/03/2017","3,517.00","3,517.00","3,517.00","3,517.00","-","0.00%"
"24/03/2017","3,517.00","3,517.00","3,517.00","3,517.00","-","0.00%"
"27/03/2017","3,517.00","3,517.00","3,517.00","3,517.00","-","0.00%"
"28/03/2017","3,517.00","3,517.00","3,517.00","3,517.00","-","0.00%"
"29/03/2017","3,517.00","3,517.00","3,517.00","3,517.00","-","0.00%"
"30/03/2017","3,517.00","3,517.00","3,517.00","3,517.00","-","0.00%"
"31/03/2017","3,517.00","3,517.00","3,517.00","3,517.00","-","0.00%"
"05/04/2017","3,517.00","3,517.00","3,517.00","3,517.00","-","0.00%"
"06/04/2017","3,517.00","3,517.00","3,517.00","3,517.00","-","0.00%"
"07/04/2017","3,517.00","3,517.00","3,517.00","3,517.00","-","0.00%"
"10/04/2017","3,517.00","3,517.00","3,517.00","3,517.00","-","0.00%"
"11/04/2017","3,517.00","3,517.00","3,517.00","3,517.00","-","0.00%"
"12/04/2017","3,517.00","3,517.00","3,517.00","3,517.00","-","0.00%"
"13/04/2017","3,517.00","3,517.00","3,517.00","3,517.00","-","0.00%"
"14/04/2017","3,517.00","3,517.00","3,517.00","3,517.00","-","0.00%"
"17/04/2017","3,517.00","3,517.00","3,517.00","3,517.00","-","0.00%"
"18/04/2017","3,040.00","3,087.00","3,105.00","2,990.00","39.03K","-13.56%"
"19/04/2017","3,019.00","3,001.00","3,045.00","3,000.00","27.71K","-0.69%"
"20/04/2017","2,997.00","3,015.00","3,075.00","2,941.00","30.51K","-0.73%"
"21/04/2017","3,039.00","3,026.00","3,068.00","3,005.00","21.99K","1.40%"
"24/04/2017","3,013.00","3,031.00","3,048.00","2,982.00","26.35K","-0.86%"
"25/04/2017","3,052.00","3,040.00","3,074.00","3,030.00","20.11K","1.29%"
"26/04/2017","3,105.00","3,061.00","3,172.00","3,048.00","20.89K","1.74%"
"27/04/2017","3,121.00","3,109.00","3,141.00","3,101.00","14.65K","0.52%"
"28/04/2017","3,133.00","3,120.00","3,195.00","3,117.00","22.47K","0.38%"
"02/05/2017","3,189.00","3,196.00","3,208.00","3,160.00","2.87K","1.79%"
"03/05/2017","3,143.00","3,167.00","3,170.00","3,123.00","3.48K","-1.44%"
"04/05/2017","2,995.00","3,110.00","3,110.00","2,936.00","4.74K","-4.71%"
"05/05/2017","2,947.00","2,950.00","2,978.00","2,916.00","3.84K","-1.60%"
"08/05/2017","2,980.00","2,990.00","3,010.00","2,950.00","4.02K","1.12%"
"09/05/2017","2,974.00","2,980.00","3,026.00","2,950.00","2.22K","-0.20%"
"10/05/2017","3,012.00","3,015.00","3,050.00","2,980.00","1.26K","1.28%"
"11/05/2017","3,015.00","3,026.00","3,030.00","3,000.00","0.54K","0.10%"
"12/05/2017","3,008.00","3,009.00","3,009.00","3,008.00","0.36K","-0.23%"
"15/05/2017","3,110.00","3,050.00","3,180.00","3,050.00","0.18K","3.39%"
"16/05/2017","3,117.00","3,117.00","3,117.00","3,117.00","-","0.23%"
"17/05/2017","3,117.00","3,117.00","3,117.00","3,117.00","-","0.00%"
"18/05/2017","3,117.00","3,117.00","3,117.00","3,117.00","-","0.00%"
"19/05/2017","3,117.00","3,178.00","3,178.00","3,057.00","0.00K","0.00%"
"22/05/2017","3,200.00","3,200.00","3,200.00","3,200.00","0.00K","2.66%"
"23/05/2017","3,200.00","3,200.00","3,200.00","3,200.00","-","0.00%"
"24/05/2017","3,221.00","3,221.00","3,221.00","3,221.00","0.00K","0.66%"
"25/05/2017","3,221.00","3,221.00","3,221.00","3,221.00","-","0.00%"
"26/05/2017","3,221.00","3,221.00","3,221.00","3,221.00","-","0.00%"
"31/05/2017","3,133.00","3,221.00","3,221.00","3,046.00","0.00K","-2.73%"
"01/06/2017","3,133.00","3,133.00","3,133.00","3,133.00","-","0.00%"
"02/06/2017","3,133.00","3,133.00","3,133.00","3,133.00","-","0.00%"
"05/06/2017","3,133.00","3,133.00","3,133.00","3,133.00","-","0.00%"
"06/06/2017","3,133.00","3,133.00","3,133.00","3,133.00","-","0.00%"
"07/06/2017","3,133.00","3,133.00","3,133.00","3,133.00","-","0.00%"
"08/06/2017","3,133.00","3,133.00","3,133.00","3,133.00","-","0.00%"
"09/06/2017","3,133.00","3,133.00","3,133.00","3,133.00","-","0.00%"
"12/06/2017","3,133.00","3,133.00","3,133.00","3,133.00","-","0.00%"
"13/06/2017","3,133.00","3,133.00","3,133.00","3,133.00","-","0.00%"
"14/06/2017","3,133.00","3,133.00","3,133.00","3,133.00","-","0.00%"
"15/06/2017","3,133.00","3,133.00","3,133.00","3,133.00","-","0.00%"
"16/06/2017","3,225.00","3,330.00","3,330.00","3,121.00","0.00K","2.94%"
"19/06/2017","3,225.00","3,225.00","3,225.00","3,225.00","-","0.00%"
"20/06/2017","3,225.00","3,225.00","3,225.00","3,225.00","-","0.00%"
"21/06/2017","3,225.00","3,225.00","3,225.00","3,225.00","-","0.00%"
"22/06/2017","3,225.00","3,225.00","3,225.00","3,225.00","-","0.00%"
"23/06/2017","3,225.00","3,225.00","3,225.00","3,225.00","-","0.00%"
"26/06/2017","3,373.00","3,308.00","3,418.00","3,307.00","0.07K","4.59%"
"27/06/2017","3,519.00","3,380.00","3,556.00","3,380.00","0.02K","4.33%"
"28/06/2017","3,521.00","3,521.00","3,521.00","3,521.00","0.00K","0.06%"
"29/06/2017","3,553.00","3,406.00","3,728.00","3,342.00","0.09K","0.91%"
"30/06/2017","3,560.00","3,691.00","3,699.00","3,401.00","0.01K","0.20%"
"03/07/2017","3,560.00","3,560.00","3,560.00","3,560.00","-","0.00%"
"04/07/2017","3,560.00","3,560.00","3,560.00","3,560.00","-","0.00%"
"05/07/2017","3,560.00","3,560.00","3,560.00","3,560.00","-","0.00%"
"06/07/2017","3,560.00","3,560.00","3,560.00","3,560.00","-","0.00%"
"07/07/2017","3,560.00","3,560.00","3,560.00","3,560.00","-","0.00%"
"10/07/2017","3,560.00","3,560.00","3,560.00","3,560.00","-","0.00%"
"11/07/2017","3,560.00","3,560.00","3,560.00","3,560.00","-","0.00%"
"12/07/2017","3,560.00","3,560.00","3,560.00","3,560.00","-","0.00%"
